Timestamp,Window_Title,Hour_of_Day,Day_of_Week,Is_Evening,Is_Early_Morning,Minute_of_Day,Session_Duration_Seconds,Total_Session_Duration_Seconds,Consecutive_Window_Count,Seconds_Since_Last_Switch,Total_Switches_So_Far,Unique_Windows_Last_10,Is_First_in_Hour,Cumulative_Work_Seconds,Time_Bucket,Switches_Last_15min,Switching_Rate_Per_Hour,Session_Length_vs_Average,Is_Extended_Session,Is_Brief_Session,Category,Confidence_Reason,App_Name,App_Type,Duration_Seconds,FQS_Score,Previous_Category,Switch_Cost,CSC_Score
2025-11-08 01:04:06,data.py - HackPrinceton - Visual Studio Code,1,Saturday,False,True,64,5,10,1,0,2,1,1,0,Night,1,4.0,0.1054994388327721,False,True,High Load,"The window title indicates active coding work in Visual Studio Code, which involves problem-solving and complex thinking.",Visual Studio Code,Development,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:04:11,data.py - HackPrinceton - Visual Studio Code,1,Saturday,False,True,64,10,10,2,5,2,1,0,5,Night,1,4.0,0.1054994388327721,False,True,High Load,"The window title indicates active coding work in Visual Studio Code, which involves problem-solving and complex thinking.",Visual Studio Code,Development,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:04:16,activity_log01.csv - HackPrinceton - Visual Studio Code,1,Saturday,False,True,64,5,5,1,0,1,2,0,10,Night,2,8.0,0.052749719416386,False,True,High Load,"The window title indicates active work on a CSV file within Visual Studio Code, which suggests data analysis or coding, both of which require deep focus and problem-solving.",Visual Studio Code,Development,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:04:21,data.py - HackPrinceton - Visual Studio Code,1,Saturday,False,True,64,5,10,1,0,2,2,0,15,Night,3,12.0,0.1054994388327721,False,True,High Load,"The window title indicates active coding work in Visual Studio Code, which involves problem-solving and complex thinking.",Visual Studio Code,Development,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:04:26,data.py - HackPrinceton - Visual Studio Code,1,Saturday,False,True,64,10,10,2,5,2,2,0,20,Night,3,12.0,0.1054994388327721,False,True,High Load,"The window title indicates active coding work in Visual Studio Code, which involves problem-solving and complex thinking.",Visual Studio Code,Development,5,55.79802484867792,High Load,5.0,1.0512902198152279
2025-11-08 01:04:31,Google Gemini - Google Chrome,1,Saturday,False,True,64,5,35,1,0,7,3,0,25,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,High Load,15.0,1.0512902198152279
2025-11-08 01:04:36,Google Gemini - Google Chrome,1,Saturday,False,True,64,10,35,2,5,7,3,0,30,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:04:41,Google Gemini - Google Chrome,1,Saturday,False,True,64,15,35,3,10,7,3,0,35,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:04:46,Google Gemini - Google Chrome,1,Saturday,False,True,64,20,35,4,15,7,3,0,40,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
2025-11-08 01:04:51,Google Gemini - Google Chrome,1,Saturday,False,True,64,25,35,5,20,7,3,0,45,Night,4,16.0,0.3692480359147025,False,True,Low Load,"The window title suggests passive consumption or casual browsing using Google Chrome, which typically involves minimal cognitive effort.",Google Chrome,Browser,5,55.79802484867792,Low Load,2.5,1.0512902198152279
